"EnterpriseNumber"
"0502.503.253"
"0504.707.232"
"0505.671.490"
"0515.839.169"
"0541.930.090"
"0544.956.787"
"0546.596.978"
"0553.207.628"
"0561.772.332"
"0579.964.582"
"0596.118.448"
"0599.843.248"
"0603.996.432"
"0607.870.393"
"0612.711.188"
"0627.842.594"
"0629.975.606"
"0634.793.932"
"0650.788.836"
"0660.307.407"
"0660.641.957"
"0661.893.455"
"0662.125.661"
"0668.010.888"
"0669.621.484"
"0671.040.753"
"0671.415.390"
"0671.545.450"
"0671.680.062"
"0676.320.721"
"0677.858.764"
"0679.802.328"
"0680.376.806"
"0681.864.270"
"0681.962.854"
"0683.170.802"
"0686.364.278"
"0687.119.393"
"0694.870.188"
"0695.555.425"
"0695.661.135"
"0696.521.960"
"0699.606.461"
"0700.986.435"
"0701.893.879"
"0702.683.539"
"0707.984.984"
"0716.406.465"
"0716.933.631"
"0717.947.577"
"0718.535.517"
"0720.999.713"
"0722.680.781"
"0723.453.219"
"0735.966.516"
"0739.818.307"
"0743.855.188"
"0748.408.547"
"0748.542.961"
"0749.951.738"
"0753.409.193"
"0754.466.889"
"0754.651.387"
"0755.489.052"
"0755.722.446"
"0756.455.191"
"0756.854.079"
"0757.617.213"
"0757.726.881"
"0757.915.636"
"0759.346.385"
"0763.861.241"
"0765.170.444"
"0765.423.832"
"0767.258.221"
"0767.680.566"
"0769.738.550"
"0773.387.136"
"0774.291.513"
"0774.832.535"
"0777.716.207"
"0779.165.465"
"0779.877.822"
"0780.546.924"
"0780.819.118"
"0784.667.345"
"0785.738.206"
"0790.668.378"
"0793.163.258"
"0793.197.704"
"0793.986.768"
"0798.769.759"
"0799.421.243"
"0799.822.804"
"0799.944.548"
"0800.202.983"
"0800.326.907"
"0801.439.536"
"0802.958.476"
"0803.021.230"
"0803.288.672"
"0803.708.643"
"0803.988.854"
"0803.989.844"
"0812.746.667"
"0813.064.490"
"0814.842.065"
"0816.811.957"
"0821.301.275"
"0828.219.157"
"0830.966.831"
"0836.136.634"
"0836.343.995"
"0837.899.559"
"0838.130.973"
"0839.324.370"
"0843.619.886"
"0846.269.867"
"0865.645.024"
"0872.480.059"
"0872.493.917"
"0876.102.911"
"0878.123.578"
"0884.790.745"
"0885.368.686"
"0890.694.283"
"0893.664.859"
"0894.594.772"
"0896.834.284"
"0897.887.923"
"1000.138.690"
"1001.207.670"
"1001.696.729"
"1002.246.758"
"1004.530.317"
"1004.545.163"
"1007.507.128"
"1007.977.874"
"1008.824.942"
"1008.877.006"
"1010.381.692"
"1011.718.809"
"1013.551.317"
"1014.137.869"
"1014.550.120"
"1015.278.016"
"1016.744.991"
"1018.859.789"
"1018.911.160"
"1019.055.868"
"1020.170.081"
"1020.374.969"
"1021.838.085"
"1022.559.746"
"1023.039.796"
"1023.913.291"
"1024.442.536"
"1025.640.683"
"1025.914.164"
"1026.709.564"
"1026.789.540"
"1027.337.292"
